datetime,symbol,hour_open,hour_high,hour_low,hour_close,hour_volume,day_open,day_high,day_low,day_close,day_volume,hour_envelope_top,hour_envelope_bot,hour_pldot,hour_oneone_high,hour_oneone_low,hour_z1b,hour_z2b,hour_z5t,hour_z6t
2025-08-01 09:30:00,AAPL,210.2,211.15,208.9,210.34,17405750,210.87,213.58,201.5,202.38,104434500,211.38,208.67,0.0007,211.26,208.78,3.61,1.46,1.02,2.37
2025-08-01 11:00:00,AAPL,210.26,210.3,209.3,210.17,17405750,210.87,213.58,201.5,202.38,104434500,210.4,209.2,-0.0004,210.35,209.25,2.17,0.24,1.18,1.05
2025-08-01 12:30:00,AAPL,210.33,211.8,210.09,211.74,17405750,210.87,213.58,201.5,202.38,104434500,211.97,209.92,0.0067,211.88,210.0,4.13,0.11,2.55,1.8
2025-08-01 14:00:00,AAPL,211.05,211.83,210.11,212.12,17405750,210.87,213.58,201.5,202.38,104434500,212.0,209.93,0.0051,211.92,210.02,5.03,0.52,3.68,1.81
2025-08-01 15:30:00,AAPL,210.88,211.71,210.24,210.72,17405750,210.87,213.58,201.5,202.38,104434500,211.86,210.09,-0.0007,211.78,210.16,1.22,1.77,0.8,1.55
2025-08-01 16:00:00,AAPL,210.77,212.33,210.19,210.45,17405750,210.87,213.58,201.5,202.38,104434500,212.54,209.97,-0.0015,212.43,210.08,0.66,3.37,2.57,2.25
2025-08-04 09:30:00,AAPL,204.49,205.27,204.48,203.38,12518216,204.51,207.88,201.68,203.35,75109300,205.35,204.4,-0.0054,205.31,204.44,2.76,3.41,4.8,0.83
2025-08-04 11:00:00,AAPL,204.47,204.74,202.2,205.43,12518216,204.51,207.88,201.68,203.35,75109300,204.99,201.95,0.0047,204.87,202.08,8.07,1.25,6.27,2.66
2025-08-04 12:30:00,AAPL,204.79,205.47,203.59,203.85,12518216,204.51,207.88,201.68,203.35,75109300,205.65,203.41,-0.0046,205.56,203.5,0.63,2.91,2.19,1.96
2025-08-04 14:00:00,AAPL,204.35,204.88,203.93,204.33,12518216,204.51,207.88,201.68,203.35,75109300,204.98,203.83,-0.0001,204.93,203.88,1.01,0.99,0.24,1.0
2025-08-04 15:30:00,AAPL,204.88,205.15,203.01,204.79,12518216,204.51,207.88,201.68,203.35,75109300,205.37,202.79,-0.0004,205.26,202.9,4.47,0.65,2.28,2.25
2025-08-04 16:00:00,AAPL,205.13,205.48,204.57,204.61,12518216,204.51,207.88,201.68,203.35,75109300,205.57,204.48,-0.0026,205.52,204.53,0.08,1.57,1.35,0.95
2025-08-05 09:30:00,AAPL,202.87,203.84,202.83,202.63,7359183,203.4,205.34,202.16,202.92,44155100,203.94,202.73,-0.0011,203.89,202.78,0.5,2.16,2.24,1.05
2025-08-05 11:00:00,AAPL,203.08,203.86,202.16,202.37,7359183,203.4,205.34,202.16,202.92,44155100,204.03,201.99,-0.0035,203.94,202.08,0.53,2.68,2.04,1.78
2025-08-05 12:30:00,AAPL,202.87,203.18,202.52,203.1,7359183,203.4,205.34,202.16,202.92,44155100,203.24,202.45,0.0011,203.21,202.49,1.46,0.14,0.81,0.69
2025-08-05 14:00:00,AAPL,204.27,204.85,203.92,205.66,7359183,203.4,205.34,202.16,202.92,44155100,204.94,203.83,0.0068,204.89,203.88,4.34,1.47,4.08,0.97
2025-08-05 15:30:00,AAPL,204.55,205.33,202.8,205.32,7359183,203.4,205.34,202.16,202.92,44155100,205.58,202.55,0.0038,205.45,202.67,6.3,0.01,4.02,2.65
2025-08-05 16:00:00,AAPL,203.78,204.79,202.16,202.72,7359183,203.4,205.34,202.16,202.92,44155100,205.06,201.9,-0.0052,204.93,202.03,1.41,3.73,2.41,2.77
2025-08-06 09:30:00,AAPL,205.31,205.76,205.59,205.5,18080516,205.63,215.38,205.59,213.25,108483100,205.77,205.57,0.0009,205.77,205.58,0.23,0.47,0.57,0.18
2025-08-06 11:00:00,AAPL,206.03,207.84,205.59,206.35,18080516,205.63,215.38,205.59,213.25,108483100,208.07,205.36,0.0016,207.95,205.48,1.89,2.69,1.18,2.36
2025-08-06 12:30:00,AAPL,205.41,205.57,205.59,204.6,18080516,205.63,215.38,205.59,213.25,108483100,205.57,205.59,-0.0039,205.57,205.59,2.47,1.74,3.13,0.02
2025-08-06 14:00:00,AAPL,205.78,206.01,205.59,205.37,18080516,205.63,215.38,205.59,213.25,108483100,206.05,205.55,-0.002,206.03,205.57,0.55,1.15,1.37,0.44
2025-08-06 15:30:00,AAPL,205.36,207.05,205.59,205.77,18080516,205.63,215.38,205.59,213.25,108483100,207.2,205.44,0.002,207.13,205.52,0.46,2.3,1.75,1.54
2025-08-06 16:00:00,AAPL,205.4,206.67,205.59,204.68,18080516,205.63,215.38,205.59,213.25,108483100,206.78,205.48,-0.0035,206.73,205.54,2.28,3.58,4.64,1.14
2025-08-07 09:30:00,AAPL,218.44,218.87,217.6,219.47,15037466,218.88,220.85,216.58,220.03,90224800,218.99,217.48,0.0047,218.93,217.54,4.67,1.08,3.95,1.33
2025-08-07 11:00:00,AAPL,218.65,218.99,217.94,218.71,15037466,218.88,220.85,216.58,220.03,90224800,219.09,217.84,0.0003,219.04,217.89,1.92,0.49,0.79,1.1
2025-08-07 12:30:00,AAPL,219.43,219.48,219.28,219.14,15037466,218.88,220.85,216.58,220.03,90224800,219.5,219.26,-0.0013,219.49,219.27,0.35,0.61,0.77,0.2
2025-08-07 14:00:00,AAPL,219.26,219.69,218.19,219.05,15037466,218.88,220.85,216.58,220.03,90224800,219.84,218.04,-0.0009,219.77,218.12,2.15,1.15,0.35,1.58
2025-08-07 15:30:00,AAPL,219.47,220.34,218.05,219.75,15037466,218.88,220.85,216.58,220.03,90224800,220.56,217.82,0.0013,220.45,217.94,4.24,1.06,1.77,2.4
2025-08-07 16:00:00,AAPL,219.15,219.51,218.77,218.97,15037466,218.88,220.85,216.58,220.03,90224800,219.58,218.7,-0.0008,219.55,218.73,0.5,0.97,0.54,0.77
2025-08-08 09:30:00,AAPL,221.11,221.62,220.89,221.98,18975666,220.83,231.0,219.25,229.35,113854000,221.69,220.82,0.0039,221.65,220.86,2.71,0.64,2.3,0.76
2025-08-08 11:00:00,AAPL,220.44,220.49,219.28,220.18,18975666,220.83,231.0,219.25,229.35,113854000,220.61,219.16,-0.0012,220.55,219.22,2.26,0.55,0.96,1.27
2025-08-08 12:30:00,AAPL,220.92,221.06,220.68,220.52,18975666,220.83,231.0,219.25,229.35,113854000,221.09,220.64,-0.0018,221.08,220.66,0.4,0.97,1.12,0.4
2025-08-08 14:00:00,AAPL,221.74,222.41,220.85,220.42,18975666,220.83,231.0,219.25,229.35,113854000,222.57,220.69,-0.006,222.49,220.77,1.07,3.58,3.87,1.64
2025-08-08 15:30:00,AAPL,220.63,222.4,220.14,221.67,18975666,220.83,231.0,219.25,229.35,113854000,222.63,219.91,0.0047,222.51,220.02,3.83,1.32,1.28,2.38
2025-08-08 16:00:00,AAPL,221.4,223.36,219.65,221.33,18975666,220.83,231.0,219.25,229.35,113854000,223.73,219.28,-0.0003,223.54,219.46,4.2,3.65,0.55,3.89
2025-08-11 09:30:00,AAPL,227.76,228.34,226.93,227.64,10301016,227.92,229.56,224.76,227.18,61806100,228.48,226.79,-0.0005,228.41,226.86,1.79,1.25,0.04,1.48
2025-08-11 11:00:00,AAPL,228.6,229.16,228.27,228.72,10301016,227.92,229.56,224.76,227.18,61806100,229.25,228.18,0.0005,229.2,228.22,1.14,0.78,0.03,0.93
2025-08-11 12:30:00,AAPL,227.89,229.56,226.77,229.24,10301016,227.92,229.56,224.76,227.18,61806100,229.84,226.49,0.0059,229.7,226.63,6.19,0.58,3.45,2.93
2025-08-11 14:00:00,AAPL,227.9,227.96,227.47,228.48,10301016,227.92,229.56,224.76,227.18,61806100,228.01,227.42,0.0026,227.98,227.45,2.52,0.94,2.45,0.51
2025-08-11 15:30:00,AAPL,228.68,229.37,227.32,230.21,10301016,227.92,229.56,224.76,227.18,61806100,229.58,227.12,0.0067,229.47,227.22,7.21,1.5,5.95,2.15
2025-08-11 16:00:00,AAPL,227.76,228.95,227.33,227.75,10301016,227.92,229.56,224.76,227.18,61806100,229.11,227.17,-0.0,229.03,227.25,1.04,2.17,1.26,1.7
