datetime,symbol,hour_open,hour_high,hour_low,hour_close,hour_volume,day_open,day_high,day_low,day_close,day_volume,week_open,week_high,week_low,week_close,week_volume,market_period,day_progress,hour_envelope_top,hour_envelope_bot,hour_pldot,hour_oneone_high,hour_oneone_low,hour_z1b,hour_z2b,hour_z5t,hour_z6t,day_envelope_top,day_envelope_bot,day_pldot,day_oneone_high,day_oneone_low,day_z1b,day_z2b,day_z5t,day_z6t,week_envelope_top,week_envelope_bot,week_pldot,week_oneone_high,week_oneone_low,week_z1b,week_z2b,week_z5t,week_z6t
2025-08-01 09:30:00,AAPL,207.67,208.67,204.83,208.07,13990146,210.87,213.58,201.5,202.38,104434500,203.39,223.59,191.51,202.38,441061826,market_open,0.0,208.67,204.83,0.0,208.67,204.83,3.25,0.6,3.25,3.85,208.67,204.83,0.0,208.67,204.83,3.25,0.6,3.25,3.85,208.67,204.83,0.0,208.67,204.83,3.25,0.6,3.25,3.85
2025-08-01 11:00:00,AAPL,208.53,209.88,208.53,209.56,20556944,210.87,213.58,201.5,202.38,104434500,218.12,222.73,189.31,202.38,587801440,morning_mid,0.2,209.88,208.53,0.0,209.88,208.53,1.02,0.32,1.02,1.35,209.88,208.53,0.0,209.88,208.53,1.02,0.32,1.02,1.35,209.88,208.53,0.0,209.88,208.53,1.02,0.32,1.02,1.35
2025-08-01 12:30:00,AAPL,210.12,210.91,209.63,210.82,19489707,210.87,213.58,201.5,202.38,104434500,217.47,219.01,191.9,202.38,506978268,lunch_time,0.4,210.91,209.63,0.0,210.91,209.63,1.2,0.09,1.2,1.29,210.91,209.63,0.0,210.91,209.63,1.2,0.09,1.2,1.29,210.91,209.63,0.0,210.91,209.63,1.2,0.09,1.2,1.29
2025-08-01 14:00:00,AAPL,210.13,210.84,209.86,210.84,14756959,210.87,213.58,201.5,202.38,104434500,207.97,228.6,186.88,202.38,540380872,afternoon_start,0.6,210.84,209.86,0.0,210.84,209.86,0.98,0.0,0.98,0.98,210.84,209.86,0.0,210.84,209.86,0.98,0.0,0.98,0.98,210.84,209.86,0.0,210.84,209.86,0.98,0.0,0.98,0.98
2025-08-01 15:30:00,AAPL,209.7,210.22,208.85,210.22,17667674,210.87,213.58,201.5,202.38,104434500,213.26,230.06,195.29,202.38,610830302,market_close_approach,0.8,210.22,208.85,0.0,210.22,208.85,1.38,0.0,1.38,1.38,210.22,208.85,0.0,210.22,208.85,1.38,0.0,1.38,1.38,210.22,208.85,0.0,210.22,208.85,1.38,0.0,1.38,1.38
2025-08-01 16:00:00,AAPL,206.85,207.99,206.85,207.33,19908956,210.87,213.58,201.5,202.38,104434500,213.43,218.6,189.09,202.38,492280719,market_close,1.0,207.99,206.85,0.0,207.99,206.85,0.47,0.66,0.47,1.13,207.99,206.85,0.0,207.99,206.85,0.47,0.66,0.47,1.13,207.99,206.85,0.0,207.99,206.85,0.47,0.66,0.47,1.13
2025-08-04 09:30:00,AAPL,204.59,205.38,204.59,204.59,14173659,204.51,207.88,201.68,203.35,75109300,200.13,214.66,189.03,203.35,374440355,market_open,0.0,205.38,204.59,0.0,205.38,204.59,0.0,0.78,0.0,0.78,205.38,204.59,0.0,205.38,204.59,0.0,0.78,0.0,0.78,205.38,204.59,0.0,205.38,204.59,0.0,0.78,0.0,0.78
2025-08-04 11:00:00,AAPL,205.86,206.81,204.76,205.76,13686375,204.51,207.88,201.68,203.35,75109300,203.16,219.29,195.25,203.35,439027101,morning_mid,0.2,206.81,204.76,0.0,206.81,204.76,1.0,1.05,1.0,2.05,206.81,204.76,0.0,206.81,204.76,1.0,1.05,1.0,2.05,206.81,204.76,0.0,206.81,204.76,1.0,1.05,1.0,2.05
2025-08-04 12:30:00,AAPL,205.87,206.6,205.87,205.87,10529421,204.51,207.88,201.68,203.35,75109300,197.54,216.15,189.11,203.35,335775040,lunch_time,0.4,206.6,205.87,0.0,206.6,205.87,0.0,0.73,0.0,0.73,206.6,205.87,0.0,206.6,205.87,0.0,0.73,0.0,0.73,206.6,205.87,0.0,206.6,205.87,0.0,0.73,0.0,0.73
2025-08-04 14:00:00,AAPL,205.98,206.56,205.98,206.3,14917311,204.51,207.88,201.68,203.35,75109300,207.3,222.97,196.03,203.35,422979564,afternoon_start,0.6,206.56,205.98,0.0,206.56,205.98,0.32,0.27,0.32,0.59,206.56,205.98,0.0,206.56,205.98,0.32,0.27,0.32,0.59,206.56,205.98,0.0,206.56,205.98,0.32,0.27,0.32,0.59
