datetime,symbol,hour_open,hour_high,hour_low,hour_close,hour_volume,market_period,day_progress,hour_envelope_top,hour_envelope_bot,hour_pldot,hour_oneone_high,hour_oneone_low,hour_z1b,hour_z2b,hour_z5t,hour_z6t
2024-01-02 09:00:00,AAPL,191.52,191.52,189.8,189.95,78491,morning_session,0.0,191.69,189.63,-0.0082,191.61,189.71,0.37,2.83,2.27,1.81
2024-01-02 10:00:00,AAPL,190.0,190.24,189.7,189.76,29855,morning_session,0.08,190.29,189.65,-0.0013,190.27,189.67,0.15,0.86,0.67,0.57
2024-01-02 11:00:00,AAPL,189.68,189.68,188.8,188.94,121577,morning_session,0.23,189.77,188.71,-0.0039,189.72,188.76,0.35,1.33,0.96,0.92
2024-01-02 12:00:00,AAPL,189.02,189.65,188.4,188.4,174909,lunch_session,0.38,189.78,188.28,-0.0033,189.71,188.34,0.0,2.25,2.0,1.31
2024-01-02 13:00:00,AAPL,189.03,192.53,187.78,188.1,555948,lunch_session,0.54,193.0,187.3,-0.0049,192.77,187.54,0.8,7.97,6.58,4.99
2024-01-02 14:00:00,AAPL,188.1,188.54,186.01,186.52,15393752,afternoon_session,0.69,188.79,185.76,-0.0084,188.67,185.88,1.28,3.64,2.42,2.66
2024-01-02 15:00:00,AAPL,186.52,186.97,185.18,185.89,9900793,afternoon_session,0.85,187.15,185.01,-0.0034,187.06,185.1,1.76,1.94,0.6,1.87
2024-01-02 16:00:00,AAPL,185.88,187.35,185.87,186.74,7086716,market_close,1.0,187.5,185.72,0.0046,187.42,185.8,2.19,1.09,0.43,1.55
2024-01-02 17:00:00,AAPL,186.75,187.04,185.84,185.88,5834968,market_close,1.0,187.16,185.72,-0.0047,187.1,185.78,0.09,2.09,1.8,1.26
2024-01-02 18:00:00,AAPL,185.88,185.96,184.75,184.91,6236575,market_close,1.0,186.08,184.62,-0.0053,186.02,184.68,0.41,1.89,1.42,1.27
2024-01-02 19:00:00,AAPL,184.9,184.98,184.01,184.05,6678217,market_close,1.0,185.08,183.91,-0.0046,185.03,183.96,0.1,1.67,1.42,1.02
2024-01-02 20:00:00,AAPL,184.04,185.64,183.88,185.53,13963235,market_close,1.0,185.82,183.71,0.008,185.73,183.8,4.1,0.21,2.44,1.84
2024-01-02 21:00:00,AAPL,185.59,185.93,185.42,185.43,1832315,market_close,1.0,185.98,185.37,-0.0009,185.96,185.39,0.03,0.9,0.78,0.54
2024-01-02 22:00:00,AAPL,185.43,185.64,185.3,185.57,99100,market_close,1.0,185.67,185.27,0.0008,185.66,185.28,0.67,0.13,0.32,0.36
2024-01-02 23:00:00,AAPL,185.58,185.6,185.22,185.31,67003,market_close,1.0,185.64,185.18,-0.0015,185.62,185.2,0.22,0.53,0.33,0.4
2024-01-03 00:00:00,AAPL,185.31,185.31,185.15,185.2,53755,morning_session,0.0,185.33,185.13,-0.0006,185.32,185.14,0.12,0.2,0.1,0.17
2024-01-03 09:00:00,AAPL,185.0,185.0,184.72,184.72,27324,morning_session,0.0,185.03,184.69,-0.0015,185.01,184.71,0.0,0.5,0.45,0.29
2024-01-03 10:00:00,AAPL,184.67,184.83,184.67,184.73,17545,morning_session,0.08,184.85,184.65,0.0003,184.84,184.66,0.15,0.18,0.06,0.17
2024-01-03 11:00:00,AAPL,184.8,185.0,184.66,185.0,21380,morning_session,0.23,185.03,184.63,0.0011,185.02,184.64,0.85,0.0,0.54,0.36
2024-01-03 12:00:00,AAPL,184.95,184.99,184.31,184.31,89306,lunch_session,0.38,185.06,184.24,-0.0035,185.02,184.28,0.0,1.22,1.09,0.71
2024-01-03 13:00:00,AAPL,184.97,185.64,184.19,184.65,395721,lunch_session,0.54,185.78,184.04,-0.0018,185.71,184.12,1.15,1.78,0.85,1.52
2024-01-03 14:00:00,AAPL,184.68,185.88,183.5,184.77,9875277,afternoon_session,0.69,186.12,183.26,0.0005,186.0,183.38,3.18,2.0,0.26,2.5
2024-01-03 15:00:00,AAPL,184.77,185.29,183.45,183.86,9495059,afternoon_session,0.85,185.47,183.27,-0.0049,185.38,183.36,1.03,2.57,1.63,1.93
